學類代碼,學類名稱,畢業年度,到職年,碩士,學士,專科
6202,畜牧學類,99,102,"39,677","27,851",
6203,園藝學類,99,102,"37,031","28,779","23,796"
6204,植物保護學類,99,102,"38,471","29,129",
6205,農業經濟及推廣學類,99,102,"41,340","34,812",
6206,食品科學類,99,102,"36,591","26,469","22,993"
6207,水土保持學類,99,102,"36,853","28,151",
6208,農業化學類,99,102,"40,447","30,284",
6209,農業技術學類,99,102,"41,586","38,838",
6210,林業學類,99,102,"39,359","29,608",
6211,漁業學類,99,102,"34,666","26,897",
6299,其他農林漁牧學類,99,102,,,
6401,獸醫學類,99,102,"39,946","32,824",
7201,醫學學類,99,102,"79,242","95,360",
7202,公共衛生學類,99,102,"70,176","30,414","27,579"
7203,藥學學類,99,102,"53,699","47,275",
7204,復健醫學學類,99,102,"48,546","38,140","25,992"
7205,營養學類,99,102,"36,685","28,415","23,269"
7206,護理學類,99,102,"67,335","49,785","38,223"
7207,醫學技術及檢驗學類,99,102,"50,520","34,624","24,355"
7208,牙醫學類,99,102,"74,496","58,937","23,197"
7299,其他醫藥衛生學類,99,102,"64,934","50,951",
7601,身心障礙服務學類,99,102,"62,395",,
7602,老年服務學類,99,102,"54,971","33,161","22,060"
7603,社會工作學類,99,102,"47,057","33,049",
7604,兒童保育學類,99,102,"42,991","25,809","24,007"
7699,其他社會服務學類,99,102,,,
8101,餐旅服務學類,99,102,"40,371","28,222","26,256"
8102,觀光休閒學類,99,102,"47,277","28,053","24,324"
8103,競技運動學類,99,102,"61,003","39,999",
8104,運動科技學類,99,102,"63,764","27,965",
8105,運動休閒及休閒管理學類,99,102,"48,668","28,468","26,615"
8106,生活應用科學學類,99,102,"50,265","26,738","20,128"
8107,服飾學類,99,102,"40,639","29,504","22,084"
8108,美容學類,99,102,"34,901","28,710","25,589"
8199,其他民生學類,99,102,"46,414","31,530",
8401,運輸管理學類,99,102,"45,016","32,975",
8402,航空學類,99,102,"43,507","30,564",
8403,航海學類,99,102,"49,579","49,321","24,196"
8501,環境資源學類,99,102,"49,259","27,582",
8502,環境防災學類,99,102,"43,111","26,988",
8599,其他環境保護學類,99,102,"39,917",,
8601,警政學類,99,102,,"25,693",
9901,其他不能歸類之各學類,99,102,"74,148","38,232",
1401,綜合教育學類,99,103,"64,477","40,772",
1402,普通科目教育學類,99,103,"61,750","37,930",
1403,專業科目教育學類,99,103,"64,135","39,196",
1404,學前教育學類,99,103,"57,580","35,008",
1405,成人教育學類,99,103,"60,955","34,661",
1406,特殊教育學類,99,103,"67,033","48,356",
1407,教育行政學類,99,103,"69,876","34,659",
1408,教育科技學類,99,103,"63,097","31,328",
1409,教育測驗評量學類,99,103,"49,881",,
1499,其他教育學類,99,103,"57,600","40,648",
2101,美術學類,99,103,"46,697","32,159",
2102,雕塑藝術學類,99,103,,"26,367",
2103,美術工藝學類,99,103,"41,119","26,739","28,080"
2104,音樂學類,99,103,"54,783","33,807",
2105,戲劇舞蹈學類,99,103,"50,090","33,713",
2106,視覺藝術學類,99,103,"41,954","29,854",
2107,綜合藝術學類,99,103,"51,134","33,517",
2108,民俗藝術學類,99,103,"59,103","29,388",
2109,應用藝術學類,99,103,"47,090","34,320",
2110,藝術行政學類,99,103,"45,349","26,723",
2201,台灣語文學類,99,103,"51,359","32,989",
2202,中國語文學類,99,103,"55,031","33,926",
2203,外國語文學類,99,103,"49,715","33,103","27,346"
2204,其他語文學類,99,103,"49,122","39,338",
2205,翻譯學類,99,103,"51,186","32,807",
2207,語言學類,99,103,"52,114","32,910",
2208,宗教學類,99,103,"53,273","29,052",
2209,歷史學類,99,103,"54,735","33,817",
2210,人類學學類,99,103,"46,880","34,150",
2211,哲學學類,99,103,"47,206","33,977",
2212,文獻學學類,99,103,"53,088",,
2299,其他人文學類,99,103,"55,483","35,654",
